customer_id,product_id,acquisition_date
C000000,checking_account,2025-07-21
C000000,personal_loan,2025-03-28
C000001,stocks,2020-02-21
C000001,mortgage,2021-05-11
C000001,savings_account,2007-02-12
C000001,credit_card_gold,2025-07-24
C000001,investment_account,2024-12-14
C000001,mutual_fund,2018-02-03
C000001,life_insurance,2018-05-16
C000001,checking_account,2008-01-01
C000002,credit_card_basic,2019-06-04
C000002,mortgage,2025-02-26
C000002,savings_account,2015-05-08
C000002,checking_account,2012-01-13
C000003,mortgage,2010-12-12
C000003,savings_account,2018-04-12
C000003,credit_card_gold,2020-06-30
C000004,credit_card_basic,2022-12-07
C000004,savings_account,2022-04-04
C000004,checking_account,2025-02-19
C000004,credit_card_gold,2025-10-12
C000005,stocks,2019-08-07
C000005,health_insurance,2019-10-26
C000005,savings_account,2024-06-19
C000005,credit_card_gold,2024-09-16
C000005,mutual_fund,2022-12-01
C000005,personal_loan,2025-01-09
C000005,checking_account,2023-11-15
C000006,checking_account,2025-05-13
C000006,mortgage,2024-12-17
C000006,savings_account,2023-11-19
C000006,credit_card_gold,2025-06-04
C000006,personal_loan,2025-04-09
C000007,credit_card_basic,2015-07-08
C000007,car_loan,2015-06-18
C000007,checking_account,2010-03-08
C000008,business_loan,2019-06-06
C000008,business_account,2024-09-27
C000008,health_insurance,2025-09-23
C000008,credit_card_business,2018-08-14
C000008,checking_account,2016-08-08
C000009,mortgage,2014-12-30
C000009,checking_account,2007-08-25
C000010,credit_card_basic,2013-12-04
C000010,savings_account,2019-07-02
C000010,checking_account,2013-11-06
C000011,mortgage,2023-06-07
C000011,checking_account,2024-10-28
C000011,savings_account,2023-11-19
C000011,personal_loan,2021-08-27
C000012,personal_loan,2025-10-02
C000012,mortgage,2006-09-30
C000012,checking_account,2020-06-22
C000012,credit_card_gold,2022-04-13
C000013,business_loan,2011-02-18
C000013,business_account,2011-12-08
C000013,health_insurance,2012-10-19
C000013,credit_card_business,2010-08-09
C000013,checking_account,2015-07-05
C000014,stocks,2023-07-07
C000014,savings_account,2020-08-20
C000014,credit_card_gold,2020-12-21
C000014,investment_account,2023-03-04
C000014,credit_card_platinum,2022-04-11
C000014,checking_account,2019-10-13
C000015,car_loan,2017-07-11
C000015,mortgage,2019-02-07
C000016,car_loan,2018-10-25
C000016,mortgage,2018-01-20
C000016,health_insurance,2021-10-20
C000016,savings_account,2015-11-26
